TIMESTAMP,DURATION_MS,PROTOCOL,EVENT,FROM,TO,CHANNEL_NUMBER,FREQUENCY,TIMESLOT,DETAILS,EVENT_ID
"2025:05:12:10:01:23","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1426869255"
"2025:05:12:10:01:23","58","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1426869255"
"2025:05:12:10:01:23","369","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1426869255"
"2025:05:12:10:01:23","710","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1426869255"
"2025:05:12:10:01:23","1055","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1426869255"
"2025:05:12:10:01:23","1454","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1426869255"
"2025:05:12:10:01:23","1593","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1426869255"
"2025:05:12:10:01:32","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1540077782"
"2025:05:12:10:01:32","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1540077782"
"2025:05:12:10:01:32","63","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1540077782"
"2025:05:12:10:01:32","164","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1540077782"
"2025:05:12:10:08:21","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1609836407"
"2025:05:12:10:08:21","335","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1609836407"
"2025:05:12:10:08:21","485","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1609836407"
"2025:05:12:10:08:22","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","452375277"
"2025:05:12:10:08:22","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","452375277"
"2025:05:12:10:08:22","346","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","452375277"
"2025:05:12:10:08:22","699","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","452375277"
"2025:05:12:10:08:22","1031","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","452375277"
"2025:05:12:10:08:22","1401","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","452375277"
"2025:05:12:10:08:22","1778","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","452375277"
"2025:05:12:10:08:22","2116","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","452375277"
"2025:05:12:10:08:22","2479","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","452375277"
"2025:05:12:10:08:22","2661","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","452375277"
"2025:05:12:10:08:25","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","766360000"
"2025:05:12:10:08:25","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","766360000"
"2025:05:12:10:08:25","280","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","766360000"
"2025:05:12:10:08:25","661","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","766360000"
"2025:05:12:10:08:25","1046","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","766360000"
"2025:05:12:10:08:25","1397","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","766360000"
"2025:05:12:10:08:25","1556","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","766360000"
"2025:05:12:10:08:30","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","51","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","369","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","722","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","1083","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","1447","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","1843","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","2123","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","2547","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","2881","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","3253","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","3606","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","3964","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","4341","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","4677","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","5039","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","5451","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","5735","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:30","5892","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","723954091"
"2025:05:12:10:08:36","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1436023847"
"2025:05:12:10:08:36","49","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1436023847"
"2025:05:12:10:08:36","357","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1436023847"
"2025:05:12:10:08:36","735","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1436023847"
"2025:05:12:10:08:36","1093","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1436023847"
"2025:05:12:10:08:36","1447","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1436023847"
"2025:05:12:10:08:36","1796","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1436023847"
"2025:05:12:10:08:36","1929","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1436023847"
"2025:05:12:10:08:39","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2061061538"
"2025:05:12:10:08:39","103","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2061061538"
"2025:05:12:10:08:39","379","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2061061538"
"2025:05:12:10:08:39","731","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2061061538"
